affection.n 8 :: maladie ; affectation ; disposition ; dernier ; occasion ; épreuve ; opération ; institution ; amitié ; extrémité
affection.n 20 :: étroit ; air ; externe ; apercevoir ; interne ; aimable ; international ; atlantique ; étranger ; alpha
affection.n 33 :: aide ; externe ; air ; ancien ; international ; animal ; art ; image ; clip ; interne
affection.n 44 :: tendance ; dépendance ; situation ; espèce ; évolution ; relation ; maladie ; chose ; sensibilité ; attitude
affection.n 145 :: pathologie ; atteinte ; maladie ; inflammation ; anémie ; origine ; cause ; anomalie ; manifestation ; activité
affection.n 210 :: air ; aide ; interne ; origine ; animal ; étranger ; eau ; être ; externe ; exemple
affection.n 224 :: lourd ; grave ; mauvais ; fréquent ; léger ; maladie ; pathologie ; petit ; principal ; important
affection.n 233 :: amitié ; amour ; appui ; attention ; estime ; opinion ; intimité ; intérêt ; argent ; adhésion
affection.n 252 :: or ; art ; ici ; eau ; aide ; air ; obliger ; argent ; amour ; envoi
affection.n 254 :: or ; aide ; art ; air ; image ; ensemble ; origine ; étrange ; lover ; aimer
aisé.a 2 :: absent ; vulnérable ; tuer ; proche ; puissant ; donner ; mort ; simple ; présent ; impliquer
aisé.a 38 :: facile ; exigeant ; important ; raffiné ; élevé ; éclairer ; riche ; sophistiquer ; accessible ; aimable
aisé.a 105 :: riche ; pauvre ; modeste ; paisible ; populaire ; favoriser ; jeune ; chic ; fortuné ; simple
aisé.a 109 :: facile ; faciliter ; satisfaisant ; rigoureux ; harmonieux ; serein ; simple ; évident ; profond ; adéquat
aisé.a 139 :: supérieur ; moyen ; social ; pauvre ; modeste ; défavorisé ; intermédiaire ; riche ; populaire ; inférieur
aisé.a 173 :: évident ; facile ; accessible ; impossible ; compliqué ; apparent ; intéressant ; envisageable ; amusant ; indiquer
aisé.a 178 :: facile ; difficile ; impossible ; susceptible ; nécessaire ; important ; simple ; capable ; fréquent ; envisageable
aisé.a 198 :: riche ; modeste ; pauvre ; important ; supérieur ; âgé ; privilégier ; religieux ; mineur ; démunir
aisé.a 253 :: facile ; simplifier ; délicat ; simple ; soigner ; intuitif ; rapide ; satisfaisant ; progressif ; médical
aisé.a 275 :: facile ; évident ; difficile ; simple ; faciliter ; ardu ; récent ; avantageux ; compliqué ; habituel
arrêter.v 1 :: stopper ; enlever ; fixer ; prendre ; tuer ; abandonner ; suspendre ; couper ; bloquer ; capturer
arrêter.v 14 :: condamner ; incarcérer ; emprisonné ; interpellé ; suspendre ; tuer ; licencié ; sanctionné ; poursuivre ; inculper
arrêter.v 23 :: apercevoir ; effectuer ; être ; avantage ; in ; objet ; arme ; aimer ; utiliser ; aimable
arrêter.v 25 :: laisse ; oublier ; lâche ; abandonner ; limite ; pousse ; regarde ; mélange ; ajouter ; appuyer
arrêter.v 50 :: faire ; quitter ; abandonner ; apprendre ; voir ; inventer ; prendre ; retenir ; enlever ; éteindre
arrêter.v 181 :: dresse ; établir ; choisir ; préparer ; élaborer ; affiche ; limite ; adopter ; approuver ; donne
arrêter.v 219 :: tuer ; abattre ; attraper ; stopper ; bloquer ; faire ; aider ; atteindre ; transporter ; capturer
arrêter.v 273 :: capturer ; prendre ; assassiner ; exécuter ; enlever ; condamner ; tuer ; innocent ; emprisonner ; juger
arrêter.v 277 :: but ; point ; or ; an ; parer ; li ; avoir ; der ; ré ; os
arrêter.v 291 :: adopter ; publier ; délivrer ; émettre ; établir ; élaborer ; décider ; approuver ; produit ; proposer
capacité.n 26 :: faculté ; disponibilité ; flexibilité ; rapidité ; souplesse ; dimension ; vitesse ; puissance ; possibilité ; capable
capacité.n 32 :: puissance ; propriété ; force ; activité ; quantité ; production ; tête ; possibilité ; réserve ; chaîne
capacité.n 35 :: membre ; université ; associer ; faculté ; employé ; personne ; société ; santé ; spécialiste ; professeur
capacité.n 70 :: puissance ; surface ; rentabilité ; performance ; force ; productivité ; qualité ; disponibilité ; quantité ; fonction
capacité.n 73 :: faculté ; compétence ; aptitude ; souplesse ; détermination ; résilience ; flexibilité ; disponibilité ; dimension ; force
capacité.n 101 :: propre ; puissance ; compétence ; faculté ; liberté ; qualité ; pouvoir ; raison ; possibilité ; fonction
capacité.n 103 :: puissance ; disponibilité ; ressource ; batterie ; réserve ; besoin ; installation ; activité ; infrastructure ; stock
capacité.n 110 :: suite ; limite ; possibilité ; puissance ; quantité ; série ; solution ; extension ; somme ; offrir
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; puissance ; pouvoir ; force ; droit ; sphère ; porter
capacité.n 148 :: faculté ; aptitude ; pratique ; formation ; maîtrise ; compétence ; présence ; réponse ; profession ; personnalité
commander.v 5 :: réaliser ; produit ; signer ; publier ; final ; dicter ; spécial ; écrire ; commande ; gracieusement
commander.v 9 :: commander ; rapidement ; vous ; commencer ; gratuitement ; facilement ; déjà ; simplement ; ligne ; être
commander.v 16 :: diriger ; mener ; commanda ; combat ; recevoir ; lancer ; consigne ; forme ; supervise ; barre
commander.v 41 :: effectuer ; commencer ; faire ; choisir ; suivre ; réaliser ; répéter ; observer ; obtenir ; décider
commander.v 48 :: gouverner ; diriger ; régir ; créer ; déterminer ; dominer ; contrôlent ; constituer ; guider ; régler
commander.v 117 :: commande ; dicter ; commandement ; suggérer ; commandant ; lev ; normalement ; commanda ; demande ; vraiment
commander.v 164 :: ordonner ; prescrire ; imposer ; enseigne ; conseiller ; obéir ; enjoindre ; dicter ; demande ; commanda
commander.v 171 :: admirer ; commande ; acheter ; voir ; découvrir ; commencer ; acquérir ; imprimer ; ouvrir ; choisir
commander.v 206 :: tandis ; impliquer ; permettre ; venir ; solaire ; empêcher ; assurer ; demander ; protéger ; signifier
commander.v 240 :: commande ; personnaliser ; régler ; également ; payer ; prendre ; piloter ; contrôler ; uniquement ; réaliser
compris.a 52 :: compréhensible ; assimiler ; contenue ; accepter ; expliquer ; profond ; compréhension ; retenir ; reconnaître ; énoncer
compris.a 90 :: sentir ; penser ; réaliser ; croire ; saisir ; entendre ; trouver ; ajouter ; considérer ; assurer
compris.a 106 :: davantage ; prouver ; confirmer ; vivre ; déjà ; penser ; préciser ; apprendre ; reconnaître ; montrer
compris.a 185 :: inclure ; incorporer ; mentionner ; contenir ; présent ; indiquer ; inscrire ; situer ; inclus ; conserver
compris.a 186 :: inclure ; déjà ; situer ; rester ; presque ; également ; présent ; inscrire ; entrer ; mort
