affection.n 8 :: nouveau ; bel ; grand ; petit ; merveilleux ; heureux ; ancien ; extraordinaire ; véritable ; universel
affection.n 20 :: international ; externe ; article ; air ; étroit ; agence ; ancien ; étranger ; accueil ; atlantique
affection.n 33 :: air ; international ; art ; ancien ; clip ; incessant ; externe ; étymologie ; aide ; interne
affection.n 44 :: évolution ; tendance ; nouveau ; petit ; augmentation ; développement ; dépendance ; long ; espèce ; sensibilité
affection.n 145 :: pathologie ; dysfonction ; activité ; dilatation ; anomalie ; force ; lésion ; origine ; région ; maladie
affection.n 210 :: aide ; air ; eau ; ensemble ; envoi ; origine ; art ; ouverture ; être ; évolution
affection.n 224 :: sérieux ; affectif ; maladie ; lourd ; grave ; profond ; social ; considérer ; important ; véritable
affection.n 233 :: suffrage ; intérêt ; appui ; vote ; opinion ; article ; amitié ; propre ; élection ; estime
affection.n 252 :: art ; air ; or ; aide ; illustre ; incessant ; énergie ; origine ; ici ; image
affection.n 254 :: aide ; or ; obliger ; art ; image ; ensemble ; air ; effet ; histoire ; origine
aisé.a 2 :: absent ; pauvre ; riche ; malade ; redevable ; vulnérable ; attentif ; parfait ; mort ; empêcher
aisé.a 38 :: bourgeoise ; accessible ; élevé ; attrayant ; important ; raffiné ; aimable ; enrichir ; élitiste ; intéressant
aisé.a 105 :: riche ; pauvre ; chic ; paisible ; populaire ; calme ; favoriser ; nanti ; fortuné ; modeste
aisé.a 109 :: facile ; faciliter ; simple ; évident ; satisfaisant ; compliqué ; général ; harmonieux ; fréquent ; agréable
aisé.a 139 :: moyen ; riche ; populaire ; pauvre ; social ; supérieur ; modeste ; défavorisé ; privilégier ; élevé
aisé.a 173 :: problématique ; évident ; compliqué ; superficiel ; fragile ; brutal ; envisageable ; facile ; savoureux ; amusant
aisé.a 178 :: facile ; difficile ; impossible ; important ; nécessaire ; urgent ; également ; devenir ; indispensable ; essentiel
aisé.a 198 :: riche ; privilégier ; fidèle ; noble ; modeste ; simple ; choisir ; religieux ; franc ; particulier
aisé.a 253 :: facile ; faciliter ; intuitif ; simple ; évident ; précis ; compliqué ; rapide ; soigner ; satisfaisant
aisé.a 275 :: facile ; difficile ; simple ; évident ; commun ; impossible ; récent ; compliqué ; heureux ; habituel
arrêter.v 1 :: stopper ; prendre ; enlever ; rattraper ; juger ; abandonner ; suspendre ; capturer ; trouver ; couper
arrêter.v 14 :: condamner ; interpeller ; interpellé ; hospitaliser ; poursuivre ; sanctionné ; emprisonné ; inculper ; incarcérer ; suspendre
arrêter.v 23 :: être ; aimer ; apercevoir ; art ; âge ; excellent ; ensemble ; objet ; avantage ; arme
arrêter.v 25 :: laisse ; oublier ; appuyer ; passer ; cesser ; calme ; commencer ; limite ; développer ; paie
