affection.n 8 :: article ; institution ; instruction ; affectation ; enseignement ; famille ; considération ; participation ; disposition ; préférence
affection.n 20 :: étroit ; apercevoir ; air ; international ; externe ; aide ; efficace ; aimable ; article ; excellent
affection.n 33 :: air ; aide ; ancien ; heureux ; incessant ; externe ; interne ; international ; étymologie ; illustre
affection.n 44 :: article ; formation ; exploitation ; développement ; propriété ; taux ; être ; association ; appartement ; protection
affection.n 145 :: composante ; pathologie ; maladie ; origine ; cause ; dysfonction ; activité ; léger ; nature ; anémie
affection.n 210 :: aide ; air ; eau ; origine ; énergie ; exploitation ; international ; évolution ; appui ; interne
affection.n 224 :: pathologie ; maladie ; atteinte ; condition ; complication ; situation ; dépendance ; forme ; infection ; histoire
affection.n 233 :: amitié ; intérêt ; appui ; opinion ; temps ; amour ; sang ; suffrage ; histoire ; adhésion
affection.n 252 :: aide ; or ; air ; art ; eau ; obliger ; ensemble ; espace ; étrange ; amour
affection.n 254 :: air ; aide ; or ; énergie ; eau ; art ; origine ; article ; heureux ; image
aisé.a 2 :: absent ; proche ; vulnérable ; attentif ; armée ; impliquer ; pauvre ; appuyer ; donner ; faire
aisé.a 38 :: élevé ; important ; pauvre ; privilégier ; favoriser ; aristocratique ; nombreux ; élitiste ; intéressant ; populaire
aisé.a 105 :: riche ; résidentiel ; paisible ; aimable ; modeste ; simple ; sûr ; populaire ; fortuné ; urbain
aisé.a 109 :: satisfaisant ; facile ; évident ; faciliter ; économique ; moindre ; homogène ; avantageux ; favoriser ; indiscutable
aisé.a 139 :: moyen ; pauvre ; supérieur ; populaire ; modeste ; social ; riche ; défavorisé ; bourgeois ; inférieur
aisé.a 173 :: évident ; facile ; fluide ; accessible ; intéressant ; amusant ; prévisible ; équitable ; agréable ; avancer
aisé.a 178 :: ardu ; facile ; compliqué ; évident ; indispensable ; avantageux ; praticable ; envisageable ; faisable ; habituel
aisé.a 198 :: riche ; honorable ; pauvre ; noble ; âgé ; privilégier ; raffiné ; modeste ; ordinaire ; inférieur
aisé.a 253 :: facile ; intuitif ; précis ; soigner ; satisfaisant ; immédiat ; rapide ; compliqué ; faciliter ; effectif
aisé.a 275 :: facile ; difficile ; simple ; évident ; faciliter ; impossible ; avantageux ; compliqué ; facilement ; intéressant
arrêter.v 1 :: enlever ; tuer ; prendre ; stopper ; délivrer ; recueillir ; juger ; trouver ; accomplir ; crucifié
arrêter.v 14 :: condamner ; mort ; sortir ; assassiner ; abattu ; tuer ; interpellé ; emprisonné ; exécuter ; être
arrêter.v 23 :: être ; apercevoir ; aimer ; avoir ; appeler ; excellent ; intégrer ; albanais ; ensemble ; air
arrêter.v 25 :: laisse ; lâche ; oublier ; abandonner ; ajouter ; cesser ; arrêt ; écrire ; commencer ; piqu
arrêter.v 50 :: abandonner ; faire ; apprendre ; inventer ; enlever ; quitter ; appeler ; éteindre ; commencer ; essayer
arrêter.v 181 :: établir ; annoncer ; dresse ; approuver ; décider ; définir ; pose ; choisir ; adopter ; déterminer
arrêter.v 219 :: assembler ; produire ; atteindre ; fixer ; faire ; fabriquer ; acheter ; construire ; installer ; percer
arrêter.v 273 :: capturer ; prendre ; emprisonner ; interpeller ; enlever ; condamner ; assassiner ; exécuter ; suspendre ; attacher
arrêter.v 277 :: or ; avoir ; us ; os ; point ; parer ; an ; in ; auparavant ; pouvoir
arrêter.v 291 :: proposer ; publier ; adopter ; décider ; émettre ; signer ; accepter ; acquérir ; accorder ; approuver
capacité.n 26 :: faculté ; rapidité ; puissance ; disponibilité ; vitesse ; flexibilité ; souplesse ; force ; possibilité ; pouvoir
capacité.n 32 :: puissance ; force ; quantité ; charge ; tête ; base ; production ; réserve ; chaîne ; propriété
capacité.n 35 :: formation ; représentant ; équipe ; maîtrise ; enseigner ; membre ; contribution ; docteur ; résidence ; clinique
capacité.n 70 :: fréquentation ; puissance ; rentabilité ; surface ; performance ; consommation ; construction ; remplissage ; location ; production
capacité.n 73 :: faculté ; compétence ; aptitude ; souplesse ; disponibilité ; dimension ; détermination ; résilience ; possibilité ; volonté
capacité.n 101 :: faculté ; compétence ; puissance ; qualité ; pouvoir ; fonction ; propre ; vie ; force ; liberté
capacité.n 103 :: stock ; infrastructure ; unité ; base ; ressource ; batterie ; production ; commande ; activité ; installation
capacité.n 110 :: participation ; possibilité ; utilisation ; réserve ; quantité ; augmentation ; option ; extension ; solution ; garantie
capacité.n 135 :: montagne ; marina ; hilaire ; parer ; noix ; voilier ; faire ; lift ; offrir ; diane
capacité.n 148 :: supérieur ; professionnel ; endurance ; compétence ; aptitude ; militaire ; principal ; propriété ; description ; externe
commander.v 5 :: donner ; écrire ; dicter ; publier ; signer ; achever ; offrir ; livrer ; vouloir ; tenir
commander.v 9 :: commander ; commencer ; choisir ; partager ; ligne ; oublier ; apprendre ; essayer ; matin ; acheter
commander.v 16 :: commandant ; supérieur ; vaisseau ; chef ; cheval ; pari ; pont ; dieu ; combat ; bord
commander.v 41 :: choisir ; commencer ; décider ; faire ; effectuer ; définir ; lancer ; créer ; réaliser ; changer
commander.v 48 :: créer ; gouverner ; diriger ; mener ; contrôlent ; régir ; déterminer ; gérer ; dominer ; organiser
commander.v 117 :: commande ; dicter ; suggérer ; prescrire ; conseillent ; demander ; compter ; normalement ; vouloir ; permettre
commander.v 164 :: ordonner ; obéir ; commanda ; imposer ; enjoindre ; enseigne ; prescrire ; conseiller ; dicter ; demande
commander.v 171 :: matin ; soir ; midi ; commande ; après-midi ; hier ; acheter ; dimanche ; lundi ; mardi
commander.v 206 :: protéger ; servir ; commande ; surveiller ; permettre ; devenir ; solaire ; défense ; surveill ; enregistrent
commander.v 240 :: commande ; contrôler ; uniquement ; faire ; régler ; piloter ; également ; payer ; prendre ; personnaliser
compris.a 52 :: assimiler ; accepter ; vivre ; prise ; enseigner ; lire ; recevoir ; interpréter ; partager ; préparer
compris.a 90 :: trouver ; considérer ; penser ; ajouter ; assurer ; croire ; reconnaître ; convaincre ; juger ; apprendre
compris.a 106 :: penser ; deviner ; comprendre ; entendre ; clair ; vivre ; vous ; remarquer ; percevoir ; expliquer
compris.a 185 :: inclure ; incorporer ; présent ; contenir ; inclus ; inscrire ; apprendre ; contenu ; indiquer ; contenue
compris.a 186 :: inclure ; incorporer ; situer ; également ; recevoir ; entendre ; entrer ; ici ; inclus ; servir
compris.a 187 :: estimer ; inclure ; situer ; contenu ; compter ; évaluer ; moyen ; ranger ; prendre ; définir
compris.a 211 :: moyen ; présent ; inclus ; situer ; circulaire ; minimal ; répartir ; semblable ; prise ; maximal
compris.a 232 :: inclure ; prendre ; contenu ; reprendre ; intégré ; compter ; également ; contenir ; inclus ; compte
compris.a 272 :: saisir ; comprendre ; capter ; réaliser ; entendre ; cacher ; deviner ; apprécier ; penser ; percevoir
compris.a 287 :: intégré ; saisir ; comprendre ; apprendre ; assimiler ; capter ; deviner ; adopter ; apprécier ; détecter
couverture.n 65 :: sommaire ; dernier ; page ; rédaction ; éditorial ; dossier ; carte ; présentation ; sélection ; série
couverture.n 67 :: protection ; fourrure ; vie ; peau ; solution ; stratégie ; responsabilité ; robe ; identité ; taille
couverture.n 72 :: toiture ; traire ; housse ; terrasse ; revêtement ; toit ; couvert ; véranda ; couvrir ; sol
couverture.n 143 :: manchette ; éditorial ; couvrir ; page ; illustration ; sommaire ; jaquette ; plein ; tête ; kiosque
couverture.n 149 :: protection ; sécurité ; garantie ; régime ; couvert ; gestion ; responsabilité ; répartition ; assurance ; vie
couverture.n 150 :: toiture ; couvrir ; pierre ; pays ; réfection ; livre ; toit ; er ; tâche ; description
couverture.n 201 :: surveillance ; sécurité ; protection ; desserte ; transformation ; gestion ; conquête ; développement ; couvrir ; recharge
couverture.n 257 :: remplacement ; protection ; vêtement ; construction ; transformation ; guerre ; soutien ; toiture ; développement ; traitement
couverture.n 265 :: couvrir ; housse ; serviette ; véranda ; enveloppe ; douche ; veste ; litière ; aile ; banquette
couverture.n 280 :: coqu ; protection ; jaquette ; lune ; plume ; carapace ; peau ; armure ; principal ; légende
débit.n 64 :: compte ; montant ; virement ; passage ; banque ; faciliter ; lieu ; découvrir ; dépôt ; moyen
débit.n 87 :: compte ; net ; flux ; montant ; détail ; brut ; passif ; crédit ; résultat ; positif
débit.n 115 :: niveau ; rythme ; cours ; poids ; écoulement ; régime ; flot ; flux ; volume ; jet
débit.n 131 :: lit ; niveau ; réservoir ; courant ; eau ; lac ; prélèvement ; bassin ; chambre ; cours
débit.n 136 :: flux ; cours ; niveau ; apport ; coefficient ; volume ; eau ; berge ; rive ; valeur
débit.n 168 :: réel ; total ; net ; internet ; automatique ; panier ; site ; instantané ; poids ; physiologique
débit.n 169 :: cours ; total ; montant ; maximum ; moyen ; produit ; droit ; principal ; flux ; prix
débit.n 184 :: taux ; intérêt ; rythme ; potentiel ; maximum ; ratio ; stockage ; transfert ; utilisation ; rendement
débit.n 188 :: apport ; flux ; crue ; niveau ; inondation ; débordement ; rejet ; précipitation ; effectif ; eau
débit.n 205 :: long ; gros ; grand ; lent ; haut ; serrer ; moyen ; élevé ; continu ; ralenti
direction.n 78 :: conduite ; coordination ; responsabilité ; performance ; présidence ; diriger ; maîtrise ; langue ; directrice ; baguette
direction.n 111 :: orientation ; conduite ; ligne ; tendance ; force ; directrice ; vision ; tête ; forme ; viser
direction.n 151 :: directrice ; présidence ; rédaction ; directeur ; équipe ; gestion ; majorité ; conduite ; tête ; coordination
direction.n 152 :: sens ; orientation ; droite ; ligne ; constant ; optique ; forme ; loi ; courbe ; suite
direction.n 172 :: destination ; rejoindre ; peut-être ; cap ; diriger ; forme ; directeur ; voir ; presque ; nord
direction.n 176 :: conduite ; sens ; rapport ; virage ; comportement ; droite ; vitesse ; tendance ; puissance ; ligne
direction.n 199 :: nouveau ; actuel ; voire ; bon ; côté ; sacrer ; droite ; management ; européen ; politique
direction.n 223 :: haut ; musical ; principal ; nouveau ; spirituel ; for ; bon ; sain ; social ; familial
direction.n 262 :: directrice ; directeur ; bon ; nouveau ; général ; responsabilité ; management ; entier ; diriger ; grand
direction.n 279 :: face ; venir ; province ; provenance ; destination ; revenir ; vallée ; sens ; région ; sortir
don.n 19 :: sens ; total ; véritable ; universel ; extraordinaire ; propre ; entier ; inné ; culte ; incroyable
don.n 30 :: talent ; pouvoir ; oeil ; atout ; point ; droit ; faculté ; trésor ; sens ; fonds
don.n 36 :: cadeau ; véritable ; dom ; bon ; sens ; do ; divin ; sacrer ; vraiment ; merveilleux
don.n 60 :: cadeau ; nom ; sacrifice ; livre ; droit ; produit ; titre ; profil ; conseil ; bon
don.n 84 :: contribution ; fonds ; versement ; produit ; apport ; cadeau ; revenu ; entrepreneur ; paiement ; enfant
don.n 107 :: usage ; cadeau ; faire ; part ; confiance ; preuve ; grâce ; offrir ; geste ; art
don.n 130 :: contribution ; fonds ; cadeau ; enfant ; prix ; remerciement ; soutien ; apport ; homme ; franc
don.n 196 :: talent ; pouvoir ; génie ; droit ; temps ; secret ; mérite ; sens ; truc ; chic
don.n 244 :: cadeau ; legs ; mécénat ; souher ; bénévolat ; bon ; testament ; parrainage ; geste ; présent
don.n 245 :: témoignage ; cas ; exemple ; acte ; nom ; rôle ; travail ; parcours ; geste ; projet
entraîner.v 39 :: aide ; art ; image ; illustre ; air ; interne ; afghan ; irlandais ; allemand ; italien
entraîner.v 47 :: obliger ; aide ; encourager ; aider ; amener ; engager ; invite ; contraindre ; inciter ; pousse
entraîner.v 55 :: air ; international ; or ; ion ; actuel ; externe ; interne ; atomique ; aide ; instrument
entraîner.v 57 :: atlas ; enseigner ; américain ; jaune ; international ; obliger ; indien ; allemand ; alpha ; officiel
entraîner.v 133 :: or ; aide ; art ; air ; image ; ancien ; origine ; enseigner ; ensemble ; énergie
entraîner.v 140 :: mener ; conduire ; amener ; envoyer ; emporter ; attirer ; pousser ; suivre ; emmener ; engager
entraîner.v 144 :: invite ; avoir ; obliger ; commencer ; force ; engager ; inviter ; appeler ; tenir ; inciter
entraîner.v 161 :: engendrer ; amener ; provoquer ; apparaître ; conduire ; produire ; éviter ; causer ; expliquer ; induire
entraîner.v 162 :: amener ; engendrer ; provoquer ; assurer ; encourager ; favoriser ; accentuer ; accélérer ; influence ; actif
entraîner.v 191 :: emporter ; amener ; attirer ; emmener ; porter ; engager ; atteindre ; conduire ; apporter ; mener
éplucher.v 10 :: peler ; finement ; faire ; nettoyer ; ire ; ensuite ; égoutter ; carotte ; brosser ; également
éplucher.v 51 :: accès ; découvrir ; mal ; examiner ; regarder ; trouver ; lire ; retrouver ; fouillé ; analyser
éplucher.v 69 :: analyser ; examiner ; lire ; faire ; étudier ; dévorer ; fouiller ; vérifier ; scanner ; recenser
éplucher.v 100 :: éplucher ; finement ; récolter ; hacher ; servir ; grossièrement ; poivron ; consommer ; rôti ; couper
