affection.n 8 :: occasion ; maladie ; dernier ; disposition ; considération ; affectation ; époque ; extrémité ; institution ; épreuve
affection.n 20 :: air ; interne ; aide ; étroit ; externe ; propre ; aimable ; international ; apercevoir ; amitié
affection.n 33 :: aide ; air ; heureux ; externe ; interne ; ancien ; international ; animal ; image ; art
affection.n 44 :: tendance ; maladie ; dépendance ; situation ; évolution ; attitude ; espèce ; chose ; relation ; émotion
affection.n 145 :: pathologie ; maladie ; activité ; inflammation ; atteinte ; intervention ; entité ; substance ; cause ; opération
affection.n 210 :: air ; aide ; interne ; externe ; animal ; étranger ; international ; eau ; indien ; origine
affection.n 224 :: pathologie ; maladie ; atteinte ; inflammation ; indication ; entité ; option ; infection ; opération ; important
affection.n 233 :: amitié ; amour ; appui ; intérêt ; attachement ; opinion ; attention ; estime ; adhésion ; ambition
affection.n 252 :: or ; air ; aide ; art ; énergie ; eau ; image ; apparemment ; échange ; ici
affection.n 254 :: or ; art ; air ; aide ; origine ; image ; aimer ; heureux ; énergie ; ensemble
aisé.a 2 :: absent ; proche ; vulnérable ; redevable ; donner ; interpellé ; pauvre ; épargner ; mort ; acquérir
aisé.a 38 :: privilégier ; élitiste ; important ; bourgeoise ; élevé ; restreindre ; aimable ; pauvre ; attrayant ; prestigieux
aisé.a 105 :: riche ; nanti ; fortuné ; favoriser ; enrichi ; instruire ; modeste ; paisible ; pauvre ; ordinaire
aisé.a 109 :: faciliter ; facile ; évident ; avantageux ; harmonieux ; satisfaisant ; ultérieur ; favoriser ; indiscutable ; rigoureux
aisé.a 139 :: supérieur ; riche ; moyen ; privilégier ; nanti ; modeste ; défavorisé ; élevé ; important ; social
aisé.a 173 :: évident ; compliqué ; facile ; accessible ; amusant ; impossible ; passionnant ; incertain ; envisageable ; avancer
aisé.a 178 :: ardu ; facile ; compliqué ; évident ; habituel ; avantageux ; approprié ; indispensable ; envisageable ; faisable
aisé.a 198 :: riche ; honorable ; modeste ; supérieur ; pauvre ; important ; noble ; bourgeois ; fortuné ; démunir
aisé.a 253 :: facile ; ardu ; faciliter ; intuitif ; évident ; aise ; compliqué ; simple ; effectif ; simplifier
aisé.a 275 :: facile ; évident ; ardu ; habituel ; difficile ; impossible ; avantageux ; auparavant ; compliqué ; simple
arrêter.v 1 :: enlever ; stopper ; prendre ; tuer ; abandonner ; arrêt ; suspendre ; recueillir ; capturer ; fixer
arrêter.v 14 :: condamner ; interpellé ; abattu ; suspendre ; incarcérer ; emprisonné ; assassiner ; interpeller ; tuer ; hospitaliser
arrêter.v 23 :: aimable ; apercevoir ; avantage ; intégrer ; apparent ; aimer ; utiliser ; être ; air ; ensemble
arrêter.v 25 :: laisse ; oublier ; limite ; piqu ; lâche ; abandonner ; cesser ; appuyer ; pousse ; commencer
arrêter.v 50 :: abandonner ; éteindre ; enlever ; quitter ; apprendre ; faire ; voir ; inventer ; remplacer ; interrompre
arrêter.v 181 :: établir ; dresse ; élaborer ; définir ; préparer ; adopter ; annoncer ; approuver ; pose ; décider
arrêter.v 219 :: stopper ; tuer ; attraper ; acheter ; aider ; bloquer ; atteindre ; fabriquer ; transporter ; frapper
arrêter.v 273 :: enlever ; capturer ; assassiner ; prendre ; condamner ; interpeller ; attacher ; adopter ; exécuter ; emprisonner
arrêter.v 277 :: or ; parer ; but ; point ; an ; pi ; canada ; vue ; voir ; avoir
arrêter.v 291 :: décider ; fixer ; adopter ; publier ; établir ; signer ; émettre ; approuver ; proposer ; accorder
capacité.n 26 :: faculté ; flexibilité ; puissance ; disponibilité ; rapidité ; dimension ; pouvoir ; souplesse ; vitesse ; force
capacité.n 32 :: puissance ; chaîne ; tête ; force ; possibilité ; quantité ; réserve ; charge ; raison ; différence
capacité.n 35 :: clinique ; formation ; activité ; maîtrise ; équipe ; résidence ; spécialiste ; population ; université ; contribution
capacité.n 70 :: fréquentation ; puissance ; surface ; performance ; consommation ; rentabilité ; quantité ; construction ; dotation ; sécurité
capacité.n 73 :: faculté ; compétence ; détermination ; force ; aptitude ; souplesse ; possibilité ; volonté ; flexibilité ; dimension
capacité.n 101 :: qualité ; compétence ; puissance ; propre ; faculté ; fonction ; pouvoir ; liberté ; force ; vertu
capacité.n 103 :: ressource ; activité ; possibilité ; stock ; chaîne ; unité ; disponibilité ; quantité ; installation ; coût
capacité.n 110 :: possibilité ; quantité ; puissance ; batterie ; solution ; suite ; réserve ; garantie ; durée ; surface
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; pouvoir ; puissance ; force ; droit ; porter ; sphère
capacité.n 148 :: compétence ; maîtrise ; formation ; maturité ; spécialisation ; certification ; connaissance ; qualité ; qualification ; aptitude
commander.v 5 :: dicter ; demander ; vouloir ; signer ; écrire ; commande ; ordonner ; donner ; lancer ; achever
commander.v 9 :: commander ; commencer ; acheter ; choisir ; réserver ; sélectionner ; découvrir ; oublier ; apprendre ; créer
commander.v 16 :: diriger ; commanda ; recevoir ; combat ; soutenir ; ordonner ; consigne ; lancer ; mener ; prendre
commander.v 41 :: choisir ; décider ; commencer ; faire ; définir ; effectuer ; lancer ; gérer ; créer ; réaliser
commander.v 48 :: diriger ; contrôlent ; déterminer ; régir ; gouverner ; mener ; gérer ; créer ; dominer ; financer
commander.v 117 :: commande ; commanda ; dicter ; commandant ; commandement ; réclamer ; comporter ; prescrire ; justifier ; permettre
commander.v 164 :: ordonner ; obéir ; dicter ; commanda ; conseiller ; prescrire ; enjoindre ; imposer ; enseigne ; demande
commander.v 171 :: acheter ; acquérir ; commande ; valider ; réserver ; admirer ; imprimer ; ouvrir ; déguster ; essayer
commander.v 206 :: protéger ; servir ; commande ; permettre ; donne ; donner ; défense ; passer ; supprimer ; surveiller
commander.v 240 :: commande ; régler ; payer ; faire ; contrôler ; uniquement ; acheter ; personnaliser ; également ; prendre
compris.a 52 :: accepter ; assimiler ; percevoir ; compréhensible ; interpréter ; intégrer ; enseigner ; vivre ; lire ; contenue
compris.a 90 :: penser ; sentir ; croire ; réaliser ; convaincre ; trouver ; apprendre ; assurer ; saisir ; considérer
compris.a 106 :: entendre ; deviner ; savoir ; vivre ; nécessaire ; penser ; comprendre ; vouloir ; cacher ; croire
compris.a 185 :: inclure ; contenir ; incorporer ; mentionner ; inscrire ; entendre ; présent ; inclus ; situer ; reconnaître
compris.a 186 :: inclure ; entrer ; situer ; inscrire ; rentrer ; rester ; placer ; intégré ; incorporer ; présent
compris.a 187 :: contenu ; estimer ; compter ; situer ; moyen ; recommander ; supérieur ; choisir ; définir ; limité
compris.a 211 :: répartir ; situer ; mesurer ; varier ; maintenir ; grouper ; moyen ; partager ; inclus ; graduellement
compris.a 232 :: inclure ; compter ; contenu ; intégré ; prendre ; reprendre ; cal ; limité ; comptabiliser ; cohérent
compris.a 272 :: saisir ; réaliser ; penser ; capter ; comprendre ; croire ; savoir ; percevoir ; apprendre ; intégré
compris.a 287 :: saisir ; deviner ; intégré ; assimiler ; apprendre ; reconnaître ; capter ; savoir ; comprendre ; détecter
couverture.n 65 :: manchette ; rédaction ; dernier ; dossier ; page ; sommaire ; couvrir ; série ; semaine ; sélection
couverture.n 67 :: peau ; vie ; voil ; survie ; veste ; réputation ; mort ; route ; toile ; protection
couverture.n 72 :: housse ; toiture ; couvrir ; revêtement ; couvert ; peau ; terrasse ; reliure ; produit ; sol
couverture.n 143 :: manchette ; couvrir ; illustration ; fort ; bref ; page ; pochette ; tête ; marge ; éditorial
couverture.n 149 :: protection ; sécurité ; gestion ; couvert ; garantie ; vie ; surveillance ; régime ; responsabilité ; répartition
couverture.n 150 :: toiture ; couvrir ; charpente ; pierre ; toit ; protection ; tuile ; voil ; construction ; revêtement
couverture.n 201 :: surveillance ; desserte ; couvrir ; pénétration ; protection ; sécurité ; gestion ; conquête ; transformation ; boucle
couverture.n 257 :: toiture ; construction ; remplacement ; protection ; transformation ; revêtement ; sol ; couvert ; surface ; toit
couverture.n 265 :: couvrir ; serviette ; housse ; véranda ; corde ; couette ; litière ; commode ; bâche ; veste
couverture.n 280 :: peau ; voil ; protection ; lune ; reliure ; plume ; couvrir ; neige ; carapace ; véranda
débit.n 64 :: dépôt ; compte ; versement ; banque ; règlement ; paiement ; crédit ; solde ; faciliter ; nombre
débit.n 87 :: montant ; paiement ; solde ; crédit ; versement ; dépôt ; règlement ; coût ; compte ; remboursement
débit.n 115 :: niveau ; rythme ; flux ; cours ; flot ; volume ; poids ; écoulement ; régime ; delta
débit.n 131 :: niveau ; flux ; eau ; dépôt ; courant ; couche ; bassin ; chambre ; pression ; jet
débit.n 136 :: flux ; cours ; apport ; eau ; niveau ; rive ; crue ; coefficient ; bord ; effectif
débit.n 168 :: montant ; règlement ; compte ; crédit ; virement ; jet ; paiement ; traitement ; financement ; privilèg
débit.n 169 :: montant ; résultat ; coût ; flux ; volume ; niveau ; financement ; traitement ; rythme ; poids
débit.n 184 :: taux ; vitesse ; rythme ; stockage ; rendement ; capacité ; coût ; transfert ; cadence ; maximum
débit.n 188 :: flux ; apport ; niveau ; rejet ; débordement ; effectif ; dépôt ; cours ; coefficient ; rive
débit.n 205 :: rythme ; flux ; caractère ; tempo ; trafic ; style ; jet ; mouvement ; accès ; canal
direction.n 78 :: conduite ; responsabilité ; coordination ; discipline ; présidence ; diriger ; houlette ; performance ; langue ; directrice
direction.n 111 :: orientation ; conduite ; ligne ; tête ; directrice ; vision ; forme ; force ; tendance ; responsabilité
direction.n 151 :: directrice ; directeur ; présidence ; rédaction ; gestion ; maîtrise ; communauté ; commission ; majorité ; coordination
direction.n 152 :: orientation ; tendance ; forme ; sens ; ligne ; déviation ; vitesse ; relation ; droite ; courbe
direction.n 172 :: rejoindre ; bonjour ; destination ; peut-être ; gagner ; bientôt ; direct ; face ; file ; forme
direction.n 176 :: conduite ; performance ; rapport ; vitesse ; orientation ; tendance ; comportement ; forme ; sens ; contrôle
direction.n 199 :: rédaction ; présidence ; majorité ; coordination ; directrice ; partir ; presse ; gauche ; commission ; droite
direction.n 223 :: conduite ; responsabilité ; tâche ; maîtrise ; présidence ; discipline ; gestion ; forme ; représentation ; diriger
direction.n 262 :: responsabilité ; directrice ; présidence ; tête ; conduite ; défense ; gestion ; charge ; directeur ; maîtrise
direction.n 279 :: face ; destination ; venir ; provenance ; province ; vallée ; revenir ; route ; faveur ; sens
don.n 19 :: talent ; sens ; style ; souci ; centre ; pouvoir ; temps ; droit ; besoin ; doué
don.n 30 :: talent ; pouvoir ; sens ; oeil ; atout ; trait ; rêve ; centre ; fonds ; tour
don.n 36 :: talent ; pouvoir ; sens ; génie ; développement ; domaine ; livre ; droit ; charm ; travail
don.n 60 :: cadeau ; travail ; produit ; livre ; geste ; signe ; legs ; sacrifice ; commerce ; fruit
don.n 84 :: contribution ; cadeau ; fonds ; apport ; produit ; déchet ; versement ; bénéficiaire ; loyer ; transfert
don.n 107 :: cadeau ; présent ; part ; parvenir ; preuve ; offrir ; achat ; grâce ; confiance ; legs
don.n 130 :: contribution ; cadeau ; fonds ; enfant ; généreux ; lecteur ; catholique ; ami ; dépôt ; prix
don.n 196 :: talent ; pouvoir ; génie ; rôle ; chic ; secret ; temps ; complexe ; mérite ; traitement
don.n 244 :: cadeau ; versement ; mécénat ; soutien ; travail ; contribution ; transfert ; bon ; legs ; partage
don.n 245 :: talent ; travail ; contribution ; témoignage ; trésor ; génie ; grand ; domaine ; pouvoir ; apport
entraîner.v 39 :: air ; art ; or ; interne ; aide ; image ; heureux ; éternel ; animal ; immigré
entraîner.v 47 :: amener ; conduire ; aider ; obliger ; engager ; encourager ; apprendre ; pousse ; conditionne ; inciter
entraîner.v 55 :: air ; international ; actuel ; or ; aide ; interne ; clip ; image ; art ; afghan
entraîner.v 57 :: air ; eau ; être ; or ; énergie ; art ; apparemment ; international ; avoir ; efficace
